Value,Name
[Function],Access.Database
[Function],ActiveDirectory.Domains
[Function],AdobeAnalytics.Cubes
[Function],AdoDotNet.DataSource
[Function],AdoDotNet.Query
[Function],AmazonRedshift.Database
[Function],AnalysisServices.Database
[Function],AnalysisServices.Databases
[Function],ApacheSpark.Tables
[Function],appFigures.Content
[Function],appFigures.Tables
[Function],AtScale.Cubes
[Function],AzureDevOpsServer.AccountContents
[Function],AzureDevOpsServer.AnalyticsViews
[Function],AzureDevOpsServer.Feed
[Function],AzureDevOpsServer.Views
[Function],AzureEnterprise.Contents
[Function],AzureEnterprise.Tables
[Function],AzureHiveLLAP.Database
[Function],AzureSpark.Tables
[Function],AzureStorage.BlobContents
[Function],AzureStorage.Blobs
[Function],AzureStorage.DataLakeContents
[Function],AzureStorage.Tables
[Function],BIConnector.Contents
[Function],BIConnector.ContentsX
[Function],Binary.Buffer
[Function],Binary.Combine
[Function],Binary.Compress
[Function],Binary.Decompress
[Function],Binary.From
[Function],Binary.FromList
[Function],Binary.FromText
[Function],Binary.InferContentType
[Function],Binary.Length
[Function],Binary.ToList
[Function],Binary.ToText
[Function],BinaryFormat.7BitEncodedSignedInteger
[Function],BinaryFormat.7BitEncodedUnsignedInteger
[Function],BinaryFormat.Binary
[Function],BinaryFormat.Byte
[Function],BinaryFormat.ByteOrder
[Function],BinaryFormat.Choice
[Function],BinaryFormat.Decimal
[Function],BinaryFormat.Double
[Function],BinaryFormat.Group
[Function],BinaryFormat.Length
[Function],BinaryFormat.List
[Function],BinaryFormat.Null
[Function],BinaryFormat.Record
[Function],BinaryFormat.SignedInteger16
[Function],BinaryFormat.SignedInteger32
[Function],BinaryFormat.SignedInteger64
[Function],BinaryFormat.Single
[Function],BinaryFormat.Text
[Function],BinaryFormat.Transform
[Function],BinaryFormat.UnsignedInteger16
[Function],BinaryFormat.UnsignedInteger32
[Function],BinaryFormat.UnsignedInteger64
[Function],Byte.From
[Function],Cds.Contents
[Function],Cds.Entities
[Function],Character.FromNumber
[Function],Character.ToNumber
[Function],Combiner.CombineTextByDelimiter
[Function],Combiner.CombineTextByEachDelimiter
[Function],Combiner.CombineTextByLengths
[Function],Combiner.CombineTextByPositions
[Function],Combiner.CombineTextByRanges
[Function],Comparer.Equals
[Function],Comparer.FromCulture
[Function],Comparer.Ordinal
[Function],Comparer.OrdinalIgnoreCase
[Function],Csv.Document
[Function],Cube.AddAndExpandDimensionColumn
[Function],Cube.AddMeasureColumn
[Function],Cube.ApplyParameter
[Function],Cube.AttributeMemberId
[Function],Cube.AttributeMemberProperty
[Function],Cube.CollapseAndRemoveColumns
[Function],Cube.Dimensions
[Function],Cube.DisplayFolders
[Function],Cube.MeasureProperties
[Function],Cube.MeasureProperty
[Function],Cube.Measures
[Function],Cube.Parameters
[Function],Cube.Properties
[Function],Cube.PropertyKey
[Function],Cube.ReplaceDimensions
[Function],Cube.Transform
[Function],Currency.From
[Function],DataLake.Contents
[Function],DataLake.Files
[Function],DataWorld.Contents
[Function],DataWorld.Dataset
[Function],Date.AddDays
[Function],Date.AddMonths
[Function],Date.AddQuarters
[Function],Date.AddWeeks
[Function],Date.AddYears
[Function],Date.Day
[Function],Date.DayOfWeek
[Function],Date.DayOfWeekName
[Function],Date.DayOfYear
[Function],Date.DaysInMonth
[Function],Date.EndOfDay
[Function],Date.EndOfMonth
